ID,Gene title,Gene symbol,Platform_ORF
3800,hypothetical protein,YJR056C,YJR056C
3801,S-adenosylmethionine-dependent methyltransferase,MTQ2,YDR140W
3802,hypothetical protein,YGL101W,YGL101W
3803,Isy1p,ISY1,YJR050W
3804,Hua2p,HUA2,YOR284W
3805,Rad59p,RAD59,YDL059C
3806,mitochondrial 37S ribosomal protein MRPS17,MRPS17,YMR188C
3807,Nop16p,NOP16,YER002W
3808,DUP240 family protein,YHL044W,YHL044W
3809,Rab family GTPase VPS21,VPS21,YOR089C
3810,Ups2p,UPS2,YLR168C
3811,Sys1p,SYS1,YJL004C
3812,Mge1p,MGE1,YOR232W
3813,nicotinamidase,PNC1,YGL037C
3814,mitochondrial 54S ribosomal protein YmL49,MRPL49,YJL096W
3815,Yet1p,YET1,YKL065C
3816,succinate dehydrogenase assembly factor SDH5,SDH5,YOL071W
3817,polyamine acetyltransferase,PAA1,YDR071C
3818,Lsm1p,LSM1,YJL124C
3819,hypothetical protein,YOL159C,YOL159C
3820,Uli1p,ULI1,YFR026C
3821,mitochondrial 54S ribosomal protein YmL32,MRPL32,YCR003W
3822,,,YLR402W
3823,Hit1p,HIT1,YJR055W
3824,hypothetical protein,YNL046W,YNL046W
3825,Met31p,MET31,YPL038W
3826,Arc19p,ARC19,YKL013C
3827,D-serine ammonia-lyase DSD1,DSD1,YGL196W
3828,polyphosphatase DDP1,DDP1,YOR163W
3829,type II nitroreductase,FRM2,YCL026C-A
3830,,,YHR180W
3831,Edc1p,EDC1,YGL222C
3832,hypothetical protein,YFL051C,YFL051C
3833,Rad33p,RAD33,YML011C
3834,Cgi121p,CGI121,YML036W
3835,hypothetical protein,YGL262W,YGL262W
3837,,,YFL015C
3838,,,YHL037C
3839,Arf family GTPase ARF3,ARF3,YOR094W
3840,ribosomal 60S subunit protein L23B,RPL23B,YER117W
3841,,,YNL285W
3842,profilin,PFY1,YOR122C
3844,,,YIL012W
3846,Sdh8p,SDH8,YBR269C
3847,,,YGL034C
3848,hypothetical protein,YOR268C,YOR268C
3849,Fyv4p,FYV4,YHR059W
3850,,,YMR082C
3851,mitochondrial 37S ribosomal protein YMR31,YMR31,YFR049W
3852,,,YIL028W
3853,,,YPL062W
3854,Spg3p,SPG3,YDR504C
3855,,,YCL007C
3856,hypothetical protein,YJR120W,YJR120W
3857,ribosomal 40S subunit protein S20,RPS20,YHL015W
3858,,,YLR269C
3859,Mtc3p,MTC3,YGL226W
3860,Trx3p,TRX3,YCR083W
3861,pyruvate transporter MPC1,MPC1,YGL080W
3862,histone H2B,HTB1,YDR224C
3863,,,YJR157W
3864,sphinganine kinase LCB4,LCB4,YOR171C
3865,hypothetical protein,YOL036W,YOL036W
3866,transcriptional regulator SIN3,SIN3,YOL004W
3867,Apl2p,APL2,YKL135C
3868,Mps3p,MPS3,YJL019W
3869,AAA family ATPase CDC6,CDC6,YJL194W
3870,Arg81p,ARG81,YML099C
3871,Ubx2p,UBX2,YML013W
3873,transketolase TKL2,TKL2,YBR117C
3874,Cu(2+)-transporting P-type ATPase CCC2,CCC2,YDR270W
3875,phosphopantothenoylcysteine decarboxylase complex subunit VHS3,VHS3,YOR054C
3876,hypothetical protein,YBR225W,YBR225W
3877,putative ubiquitin-protein ligase ASI1,ASI1,YMR119W
3878,serine/threonine protein kinase RCK2,RCK2,YLR248W
3879,Ecm7p,ECM7,YLR443W
3880,homoserine O-acetyltransferase,MET2,YNL277W
3881,"dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase",ALG3,YBL082C
3882,exomer complex subunit,BUD7,YOR299W
3883,Ylh47p,YLH47,YPR125W
3884,pseudouridine synthase CBF5,CBF5,YLR175W
3885,histone methyltransferase SET2,SET2,YJL168C
3886,serine/threonine protein kinase PSK1,PSK1,YAL017W
3888,hypothetical protein,YIL169C,YIL169C
3889,serine/threonine protein kinase PKH2,PKH2,YOL100W
3890,Lsb3p,LSB3,YFR024C
3891,hypothetical protein,YHR054C,YHR054C
3892,aldehyde dehydrogenase (NAD(+)) ALD2,ALD2,YMR170C
3894,hexose transporter HXT9,HXT9,YJL219W
3895,translation elongation factor EF-1 alpha,TEF2,YBR118W
3896,Hsp70 family chaperone SSA2,SSA2,YLL024C
3897,ubiquitin,UBI4,YLL039C
3898,mannitol dehydrogenase DSF1,DSF1,YEL070W
3899,phosphopyruvate hydratase ERR1,ERR1,YOR393W
3900,pseudo,HXT12,YIL170W
3901,Hsp70 family ATPase SSB1,SSB1,YDL229W
3902,Nab6p,NAB6,YML117W
3903,hypothetical protein,YLR460C,YLR460C
3904,rRNA-binding ribosome biosynthesis protein,SSF1,YHR066W
3905,alpha-glucosidase MAL32,MAL32,YBR299W
3906,Y' element ATP-dependent helicase protein 1 copy 1,YRF1-1,YDR545W
3907,translation initiation factor eIF4A,TIF2,YJL138C
3908,IMP dehydrogenase IMD2,IMD2,YHR216W
3909,phosphopyruvate hydratase ENO1,ENO1,YGR254W
3910,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,THI11,YJR156C
3911,alpha-glucosidase MAL12,MAL12,YGR292W
3912,ribosomal 60S subunit protein L27A,RPL27A,YHR010W
3913,histone H2B,HTB2,YBL002W
3914,,,YOR309C
3915,,,YDL096C
3916,,,YGR011W
3917,,,YLR198C
3918,,,YJR018W
3919,,,YGR073C
3920,ribosomal 60S subunit protein L34B,RPL34B,YIL052C
3921,,,YGR151C
3922,seripauperin PAU13,PAU13,YHL046C
3923,seripauperin PAU11,PAU11,YGL261C
3924,,,YML035C-A
3925,,,YLR294C
3926,Hmra1p,HMRA1,YCR097W
3927,,,YBR232C
3928,ribosomal 60S subunit protein L34A,RPL34A,YER056C-A
3929,seripauperin PAU8,PAU8,YAL068C
3930,,,YPR130C
3931,,,YKL169C
3932,,,YLR062C
3933,,,YPR076W
3934,ribosomal 60S subunit protein L22A,RPL22A,YLR061W
3969,bifunctional endoribonuclease/protein kinase IRE1,IRE1,YHR079C
3970,ATP-dependent 3'-5' DNA helicase,HRQ1,YDR291W
3971,tRNA methylation protein TRM732,TRM732,YMR259C
3972,"bifunctional 4-alpha-glucanotransferase/amylo-alpha-1,6-glucosidase",GDB1,YPR184W
3973,ATP-dependent RNA helicase BRR2,BRR2,YER172C
3974,Mhp1p,MHP1,YJL042W
3975,Kap122p,KAP122,YGL016W
3976,alpha-mannosidase,AMS1,YGL156W
3977,Npr3p,NPR3,YHL023C
3978,DNA-directed DNA polymerase gamma MIP1,MIP1,YOR330C
3979,Kip1p,KIP1,YBL063W
3980,putative ubiquitin-protein ligase UBR2,UBR2,YLR024C
3981,translation initiation factor 3 subunit CLU1,CLU1,YMR012W
3982,Tao3p,TAO3,YIL129C
3983,bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase,URA2,YJL130C
3984,Bre4p,BRE4,YDL231C
3985,E3 ubiquitin-protein ligase IRC20,IRC20,YLR247C
3986,gag-pol fusion protein,YER138C,YER138C
3987,serine/threonine-protein kinase GCN2,GCN2,YDR283C
3988,Arf family guanine nucleotide exchange factor GEA2,GEA2,YEL022W
3989,putative DNA/RNA helicase SEN1,SEN1,YLR430W
3990,bifunctional urea carboxylase/allophanate hydrolase,"DUR1,2",YBR208C
3991,Num1p,NUM1,YDR150W
3992,gag-pol fusion protein,YML039W,YML039W
3993,tyrosine protein phosphatase PTP1,PTP1,YDL230W
3994,putative polyadenylation protein,YJR141W,YJR141W
3995,DNA damage-responsive RNA polymerase-degradation factor DEF1,DEF1,YKL054C
3996,tryptophan synthase TRP5,TRP5,YGL026C
3997,Tgl1p,TGL1,YKL140W
3998,Rad34p,RAD34,YDR314C
3999,mitochondrial 54S ribosomal protein RML2,RML2,YEL050C
4000,cell proliferation protein CDC123,CDC123,YLR215C
4001,delta(14)-sterol reductase,ERG24,YNL280C
4002,Cbf1p,CBF1,YJR060W
4003,Rtt10p,RTT10,YPL183C
4004,hypothetical protein,YPL264C,YPL264C
4005,Hif1p,HIF1,YLL022C
4006,anaphase promoting complex subunit 5,APC5,YOR249C
4007,Tod6p,TOD6,YBL054W
4008,aldehyde dehydrogenase (NADP(+)) ALD6,ALD6,YPL061W
4009,phosphoprotein phosphatase CDC14,CDC14,YFR028C
4010,chromatin-remodeling protein SPT16,SPT16,YGL207W
4011,tethering complex subunit PEP5,PEP5,YMR231W
4012,putative dehydrogenase BDH2,BDH2,YAL061W
4013,Spo22p,SPO22,YIL073C
4014,calmodulin-dependent protein kinase CMK1,CMK1,YFR014C
4016,Bor1p,BOR1,YNL275W
4017,Yfh7p,YFH7,YFR007W
4018,Kar5p,KAR5,YMR065W
4019,Ctk2p,CTK2,YJL006C
4020,Cyb2p,CYB2,YML054C
4021,histone-binding protein SET3,SET3,YKR029C
4022,guanine deaminase,GUD1,YDL238C
4023,FG-nucleoporin NSP1,NSP1,YJL041W
4024,hypothetical protein,YOL107W,YOL107W
4025,Yim1p,YIM1,YMR152W
4026,mitochondrial 54S ribosomal protein YmL2,MRP7,YNL005C
4027,Est1p,EST1,YLR233C
4028,pseudouridine synthase PUS2,PUS2,YGL063W
4029,Hms1p,HMS1,YOR032C
4030,Bro1p,BRO1,YPL084W
4031,hypothetical protein,YNL011C,YNL011C
4032,exocyst subunit EXO84,EXO84,YBR102C
4033,Inp1p,INP1,YMR204C
4034,Djp1p,DJP1,YIR004W
4035,cyclin CLN2,CLN2,YPL256C
4036,Vcx1p,VCX1,YDL128W
4037,"putative alpha-1,3-mannosyltransferase",MNT4,YNR059W
4038,Vhr2p,VHR2,YER064C
4039,Elg1p,ELG1,YOR144C
4040,Bye1p,BYE1,YKL005C
4041,E1 ubiquitin-activating protein UBA1,UBA1,YKL210W
4042,Taf4p,TAF4,YMR005W
4043,putative glycosylase,CRR1,YLR213C
4044,Mig3p,MIG3,YER028C
4045,3-deoxy-7-phosphoheptulonate synthase ARO4,ARO4,YBR249C
4046,hypothetical protein,YPL039W,YPL039W
4047,ribonuclease III,RNT1,YMR239C
4048,Aif1p,AIF1,YNR074C
4049,Arc35p,ARC35,YNR035C
4050,sterol 14-demethylase,ERG11,YHR007C
4051,ubiquitin-protein ligase peroxin 10,PEX10,YDR265W
4052,Ino2p,INO2,YDR123C
4053,Yig1p,YIG1,YPL201C
4054,mitogen-activated serine/threonine-protein kinase FUS3,FUS3,YBL016W
4055,medium-chain fatty acid ethyl ester synthase/esterase,EEB1,YPL095C
4056,histone acetyltransferase TRA1,TRA1,YHR099W
4057,NEDD4 family E3 ubiquitin-protein ligase,RSP5,YER125W
4058,hypothetical protein,YDR239C,YDR239C
4059,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,ALG7,YBR243C
4060,putative ATP-dependent RNA helicase DBP10,DBP10,YDL031W
4061,cyclin-dependent serine/threonine protein kinase SGV1,SGV1,YPR161C
4062,Hsp70 family ATPase KAR2,KAR2,YJL034W
4063,hypothetical protein,YGR079W,YGR079W
4064,coatomer subunit delta,RET2,YFR051C
4065,Trs65p,TRS65,YGR166W
4066,"glucan exo-1,3-beta-glucosidase",EXG2,YDR261C
4067,Ahc1p,AHC1,YOR023C
4068,cytochrome-b5 reductase,AIM33,YML087C
4069,hypothetical protein,YLR177W,YLR177W
4070,ribonucleotide-diphosphate reductase subunit RNR1,RNR1,YER070W
4071,aspartyl protease BAR1,BAR1,YIL015W
4072,putative dolichyl-phosphate-mannose--protein mannosyltransferase,PMT7,YDR307W
4073,mannosyltransferase complex subunit MNN9,MNN9,YPL050C
4074,Mks1p,MKS1,YNL076W
4075,Rri2p,RRI2,YOL117W
4076,Cic1p,CIC1,YHR052W
4077,cystathionine gamma-synthase,STR2,YJR130C
4078,Gvp36p,GVP36,YIL041W
4079,lysophosphatidic acid acyltransferase LOA1,LOA1,YPR139C
4080,mitochondrial 37S ribosomal protein MRP51,MRP51,YPL118W
4081,6-phosphofructo-2-kinase,PFK27,YOL136C
4082,Cik1p,CIK1,YMR198W
4083,cystathionine gamma-synthase,YLL058W,YLL058W
4084,Ids2p,IDS2,YJL146W
4085,replication fork barrier binding protein FOB1,FOB1,YDR110W
4086,serine C-palmitoyltransferase LCB2,LCB2,YDR062W
4087,Kel3p,KEL3,YPL263C
4088,triglyceride lipase,LPX1,YOR084W
4089,hypothetical protein,YBL081W,YBL081W
4090,Sfg1p,SFG1,YOR315W
4091,Nej1p,NEJ1,YLR265C
4092,Bbc1p,BBC1,YJL020C
4093,GPI-anchor transamidase GPI18,GPI18,YBR004C
4094,Bir1p,BIR1,YJR089W
4095,putative hydrolase,ARX1,YDR101C
4096,proteasome core particle subunit alpha 7,PRE10,YOR362C
4097,Kip2p,KIP2,YPL155C
4098,hypothetical protein,YKR011C,YKR011C
4099,mini-chromosome maintenance complex protein 7,MCM7,YBR202W
4100,translation initiation factor eIF2B subunit beta,GCD7,YLR291C
4101,[Histone H3]-lysine-36 demethylase,JHD1,YER051W
4102,Ste50p,STE50,YCL032W
4103,nucleoside transmembrane transporter FUN26,FUN26,YAL022C
4104,Cts1p,CTS1,YLR286C
4105,chaperonin-containing T-complex subunit CCT4,CCT4,YDL143W
4106,hexose transporter HXT2,HXT2,YMR011W
4107,phosphoserine phosphatase,SER2,YGR208W
4108,protein phosphatase regulator REG1,REG1,YDR028C
4109,SUMO-targeted ubiquitin ligase complex subunit SLX5,SLX5,YDL013W
4110,Hsp90 family chaperone HSC82,HSC82,YMR186W
4111,Ady3p,ADY3,YDL239C
4112,putative alanine--tRNA ligase,YNL040W,YNL040W
4113,E3 ubiquitin-protein ligase BRE1,BRE1,YDL074C
4115,Shc1p,SHC1,YER096W
4116,COMPASS subunit protein SWD1,SWD1,YAR003W
4117,Vhs2p,VHS2,YIL135C
4118,glutathione synthase,GSH2,YOL049W
4119,Mak10p,MAK10,YEL053C
4120,"bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase",YLR345W,YLR345W
4121,proteasome regulatory particle base subunit RPN2,RPN2,YIL075C
4122,Ysw1p,YSW1,YBR148W
4123,mannosyltransferase KTR2,KTR2,YKR061W
4124,translation initiation factor eIF3 core subunit a,RPG1,YBR079C
4125,ribose phosphate diphosphokinase subunit PRS2,PRS2,YER099C
4126,Ure2p,URE2,YNL229C
4127,allantoate permease,DAL5,YJR152W
4128,Hcm1p,HCM1,YCR065W
4129,protein phosphatase regulator PIG1,PIG1,YLR273C
4130,DExD/H-box ATP-dependent RNA helicase DHH1,DHH1,YDL160C
4131,catalase T,CTT1,YGR088W
4132,Urn1p,URN1,YPR152C
4133,mitogen-activated protein kinase kinase kinase STE11,STE11,YLR362W
4135,peroxisome biogenesis protein,PEX30,YLR324W
4136,Mrx8p,MRX8,YDR336W
4137,Vba4p,VBA4,YDR119W
4138,translation initiation factor eIF2 subunit alpha,SUI2,YJR007W
4139,hypothetical protein,YOR292C,YOR292C
4140,rDNA-binding RNA polymerase I transcriptional factor,RRN3,YKL125W
4141,putative tubulin tyrosine ligase,PBY1,YBR094W
4143,mRNA-binding ubiquitin-specific protease UBP3,UBP3,YER151C
4144,glycine hydroxymethyltransferase SHM2,SHM2,YLR058C
4145,Ssu1p,SSU1,YPL092W
4146,hypothetical protein,YLR287C,YLR287C
4147,glutamine amidotransferase subunit DUG2,DUG2,YBR281C
4148,hypothetical protein,YJR015W,YJR015W
4149,Scs3p,SCS3,YGL126W
4150,chaperone ATPase HSP60,HSP60,YLR259C
4151,glutamyl-tRNA(Gln) amidotransferase subunit PET112,PET112,YBL080C
4153,Syo1p,SYO1,YDL063C
4154,S-adenosylmethionine-homocysteine S-methyltransferase MHT1,MHT1,YLL062C
4155,RNA-dependent ATPase ROK1,ROK1,YGL171W
4156,Arp9p,ARP9,YMR033W
4157,L-serine/L-threonine ammonia-lyase CHA1,CHA1,YCL064C
4158,Aep1p,AEP1,YMR064W
4159,mitochondrial 54S ribosomal protein YmL7/YmL5,MRPL7,YDR237W
4160,putative protein kinase YPK2,YPK2,YMR104C
4161,"dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase",ALG6,YOR002W
4162,Hsp30p,HSP30,YCR021C
4163,hypothetical protein,YLR049C,YLR049C
4164,alcohol O-acetyltransferase,ATF1,YOR377W
4165,Sap4p,SAP4,YGL229C
4166,putative permease SEO1,SEO1,YAL067C
4167,Sfl1p,SFL1,YOR140W
4168,type 2C protein phosphatase PTC6,PTC6,YCR079W
4169,epsin,ENT2,YLR206W
4170,NADH kinase,POS5,YPL188W
4171,Upf3p,UPF3,YGR072W
4172,alcohol dehydrogenase ADH5,ADH5,YBR145W
4173,Gpb1p,GPB1,YOR371C
4174,Yos9p,YOS9,YDR057W
4175,hydroxymethylglutaryl-CoA reductase (NADPH) HMG2,HMG2,YLR450W
4176,polynucleotide 5'-phosphatase,CET1,YPL228W
4177,phosphatidylethanolamine N-methyltransferase,CHO2,YGR157W
4178,phosphoglycerate mutase family protein GPM2,GPM2,YDL021W
4179,aldo-keto reductase superfamily protein,YPL088W,YPL088W
4180,Afg1p,AFG1,YEL052W
4181,putative peptide hydrolase,YMR114C,YMR114C
4182,S-methyl-5-thioribose-1-phosphate isomerase MRI1,MRI1,YPR118W
4183,"saccharopine dehydrogenase (NAD+, L-lysine-forming)",LYS1,YIR034C
4184,histone demethylase GIS1,GIS1,YDR096W
4185,Bop3p,BOP3,YNL042W
4186,Bbp1p,BBP1,YPL255W
4187,Mam1p,MAM1,YER106W
4188,Erv29p,ERV29,YGR284C
4189,anaphase promoting complex subunit DOC1,DOC1,YGL240W
4190,Dig2p,DIG2,YDR480W
4191,Ras family GTPase RAS2,RAS2,YNL098C
4192,mitochondrial 54S ribosomal protein YmL4,MRPL4,YLR439W
4193,Jid1p,JID1,YPR061C
4194,hypothetical protein,YPR011C,YPR011C
4195,Lee1p,LEE1,YPL054W
4196,U1 snRNP complex subunit SNP1,SNP1,YIL061C
4197,calmodulin-dependent protein kinase CMK2,CMK2,YOL016C
4198,putative thioredoxin peroxidase SCO2,SCO2,YBR024W
4199,hypothetical protein,YPR147C,YPR147C
4200,triglyceride lipase,TGL2,YDR058C
4201,heat shock protein HSP150,HSP150,YJL159W
4202,ubiquitin-specific protease OTU1,OTU1,YFL044C
4203,Leo1p,LEO1,YOR123C
4204,hexaprenyldihydroxybenzoate methyltransferase,COQ3,YOL096C
4205,exosome non-catalytic core subunit CSL4,CSL4,YNL232W
4206,putative ADP-ribose 1''-phosphate phosphatase,YMR087W,YMR087W
4207,oxidoreductase,YMR226C,YMR226C
4208,purine-nucleoside phosphorylase,PNP1,YLR209C
4209,Golgi transport complex subunit COG2,COG2,YGR120C
4210,Vps71p,VPS71,YML041C
4211,Pfs1p,PFS1,YHR185C
4213,Luc7p,LUC7,YDL087C
4214,hypothetical protein,YGL117W,YGL117W
4215,Rcn2p,RCN2,YOR220W
4216,rRNA-processing protein NSA2,NSA2,YER126C
4217,phosphatidate phosphatase LPP1,LPP1,YDR503C
4218,Kre9p,KRE9,YJL174W
4219,Nfu1p,NFU1,YKL040C
4221,retromer subunit VPS29,VPS29,YHR012W
4222,Elongator subunit ELP6,ELP6,YMR312W
4223,Cir1p,CIR1,YGR207C
4224,hypothetical protein,YPL162C,YPL162C
4225,Tir3p,TIR3,YIL011W
4226,S-adenosylmethionine-dependent methyltransferase,NNT1,YLR285W
4227,cystinosin-like protein ERS1,ERS1,YCR075C
4228,mitochondrial 54S ribosomal protein YmL41,MRP20,YDR405W
4229,carboxymethylenebutenolidase,YDL086W,YDL086W
4230,tRNA splicing endonuclease subunit SEN34,SEN34,YAR008W
4231,Pun1p,PUN1,YLR414C
4232,mitochondrial 54S ribosomal protein YmL11,MRPL11,YDL202W
4233,hypothetical protein,YGR153W,YGR153W
4234,Srd1p,SRD1,YCR018C
4235,H(+)-transporting V0 sector ATPase subunit c'',VMA16,YHR026W
4236,Pga1p,PGA1,YNL158W
4237,phosphatidylinositol N-acetylglucosaminyltransferase GPI15,GPI15,YNL038W
4238,F1F0 ATP synthase subunit 5,ATP5,YDR298C
4239,Taf10p,TAF10,YDR167W
4240,phosphoribosylglycinamide formyltransferase,ADE8,YDR408C
4241,H/ACA snoRNP pseudouridylase subunit GAR1,GAR1,YHR089C
4242,Shr3p,SHR3,YDL212W
4243,Tvp23p,TVP23,YDR084C
4244,putative serine hydrolase,FSH2,YMR222C
4245,Tma22p,TMA22,YJR014W
4246,ESCRT-I subunit protein SRN2,SRN2,YLR119W
4247,Csm2p,CSM2,YIL132C
4248,adenylate kinase ADK2,ADK2,YER170W
4249,,,YGR226C
4250,Hua1p,HUA1,YGR268C
4251,Irc21p,IRC21,YMR073C
4252,Plp1p,PLP1,YDR183W
4253,Tlg1p,TLG1,YDR468C
4254,Rcf2p,RCF2,YNR018W
4255,Rab family GTPase YPT7,YPT7,YML001W
4256,Pin3p,PIN3,YPR154W
4257,Fyv6p,FYV6,YNL133C
4258,DNA-directed RNA polymerase III subunit RPC17,RPC17,YJL011C
4259,Mg-dependent acid phosphatase,YER134C,YER134C
4261,Ypd1p,YPD1,YDL235C
4262,hypothetical protein,YDL177C,YDL177C
4263,Spo12p,SPO12,YHR152W
4264,Nce102p,NCE102,YPR149W
4265,Ecm34p,ECM34,YHL043W
4266,DNA-directed RNA polymerase II subunit RPB7,RPB7,YDR404C
4267,Mlc1p,MLC1,YGL106W
4268,ribosomal 60S subunit protein L24A,RPL24A,YGL031C
4270,RNA-binding signal recognition particle subunit SRP14,SRP14,YDL092W
4272,Fis1p,FIS1,YIL065C
4273,Tma19p,TMA19,YKL056C
4274,chromatin modification protein,TAF9,YMR236W
4275,Osw5p,OSW5,YMR148W
4276,Mpo1p,MPO1,YGL010W
4277,E2 ubiquitin-conjugating protein RAD6,RAD6,YGL058W
4278,glucosamine 6-phosphate N-acetyltransferase,GNA1,YFL017C
4279,hypothetical protein,YKL063C,YKL063C
4280,Gre1p,GRE1,YPL223C
4281,ubiquinol--cytochrome-c reductase subunit 7,QCR7,YDR529C
4282,,,YHR049C-A
4283,,,YDL196W
4285,ubiquitin-like protein ATG8,ATG8,YBL078C
4286,,,YLR311C
4287,seripauperin PAU17,PAU17,YLL025W
4288,hypothetical protein,YOL131W,YOL131W
4289,4a-hydroxytetrahydrobiopterin dehydratase,YHL018W,YHL018W
4290,,,YOR376W
4291,hypothetical protein,YER121W,YER121W
4292,,,YDL162C
4293,ribonucleotide reductase inhibiting protein SML1,SML1,YML058W
4294,,,YGL007W
4295,transcription initiation factor IIA subunit gamma,TOA2,YKL058W
4296,,,YDR029W
4298,Mgr2p,MGR2,YPL098C
4299,Cgr1p,CGR1,YGL029W
4300,,,YPR014C
4301,Fra2p,FRA2,YGL220W
4302,DNA-directed RNA polymerase II core subunit RPB9,RPB9,YGL070C
4303,,,YBL048W
4304,,,YJL199C
4305,hydroxymethylglutaryl-CoA reductase (NADPH) HMG1,HMG1,YML075C
4306,ERMES complex subunit MDM34,MDM34,YGL219C
4307,SUN family protein UTH1,UTH1,YKR042W
4309,imidazoleglycerol-phosphate dehydratase HIS3,HIS3,YOR202W
4310,Tsr2p,TSR2,YLR435W
4311,hypothetical protein,YLR283W,YLR283W
4313,E3 ubiquitin-protein ligase PRP19,PRP19,YLL036C
4314,peptidylprolyl isomerase CPR6,CPR6,YLR216C
4315,Ras family GTPase RSR1,RSR1,YGR152C
4316,translation initiation factor eIF2 subunit beta,SUI3,YPL237W
4317,Sps18p,SPS18,YNL204C
4318,high-affinity Cu transporter CTR1,CTR1,YPR124W
4319,phosphoglycerate kinase,PGK1,YCR012W
4320,Emc2p,EMC2,YJR088C
4321,snoRNP complex protein NOP56,NOP56,YLR197W
4322,hypothetical protein,YDL186W,YDL186W
4323,protein phosphatase regulator REG2,REG2,YBR050C
4324,Stp3p,STP3,YLR375W
4325,Dst1p,DST1,YGL043W
4326,Cos10p,COS10,YNR075W
4327,sterol-binding protein,PRY2,YKR013W
4328,phosphoribosylanthranilate isomerase TRP1,TRP1,YDR007W
4329,putative aryl-alcohol dehydrogenase,AAD14,YNL331C
4330,gag protein,YML040W,YML040W
4331,acid phosphatase PHO11,PHO11,YAR071W
4332,ribosomal 60S subunit protein L7B,RPL7B,YPL198W
4333,DNA-binding E3 ubiquitin-protein ligase SNT2,SNT2,YGL131C
4334,,,YGL218W
4335,methionine adenosyltransferase SAM1,SAM1,YLR180W
4336,hypothetical protein,YPL277C,YPL277C
4337,pyridoxine biosynthesis protein SNZ3,SNZ3,YFL059W
4338,,,YDR149C
4339,,,YJL195C
4340,,,YGR160W
4341,Y' element ATP-dependent helicase,YIL177C,YIL177C
4342,indolepyruvate decarboxylase 5,PDC5,YLR134W
4343,ribosomal 40S subunit protein S4A,RPS4A,YJR145C
4344,GPI-anchored mannoprotein,TIR1,YER011W
4345,hypothetical protein,YEL076C-A,YEL076C-A
4346,putative pyridoxal 5'-phosphate synthase,SNO2,YNL334C
4347,gag-pol fusion protein,YHR214C-B,YHR214C-B
4348,H(+)-exporting P2-type ATPase PMA1,PMA1,YGL008C
4349,hypothetical protein,YNL033W,YNL033W
4350,ribosomal 40S subunit protein S1A,RPS1A,YLR441C
4351,ribosomal 60S subunit protein L1B,RPL1B,YGL135W
4352,homeodomain mating type protein alpha2,HMLALPHA2,YCL067C
4353,Vps63p,VPS63,YLR261C
4354,,,YDL034W
4355,,,YGR219W
4356,histone H4,HHF1,YBR009C
4357,,,YML102C-A
4358,ribosomal protein P2A,RPP2A,YOL039W
4359,,,YOR102W
4360,,,YDR230W
4361,,,YBL100C
4362,,,YNL057W
4363,hypothetical protein,YOR105W,YOR105W
4364,,,YLR465C
4365,,,YLL065W
4366,,,YHR212C
4367,,,YDR521W
4368,,,YOL050C
4369,,,YDL163W
4370,,,YOR121C
4371,,,YPR044C
4372,,,YOR345C
4373,,,YJR020W
4374,pseudo,YIL175W,YIL175W
4375,,,YPL142C
4376,,,YPL251W
4410,Yta7p,YTA7,YGR270W
4411,Avo1p,AVO1,YOL078W
4412,flocculin FLO9,FLO9,YAL063C
4413,Rho family guanine nucleotide exchange factor ROM2,ROM2,YLR371W
4414,Rgt1p,RGT1,YKL038W
4416,Y' element ATP-dependent helicase protein 1 copy 4,YRF1-4,YLR466W
4417,CCR4-NOT core subunit CDC39,CDC39,YCR093W
4418,FG-nucleoporin NUP159,NUP159,YIL115C
4419,Ecm32p,ECM32,YER176W
4420,Ecm21p,ECM21,YBL101C
4421,cohesin subunit SMC1,SMC1,YFL008W
4422,Y' element ATP-dependent helicase protein 1 copy 3,YRF1-3,YGR296W
4423,Dop1p,DOP1,YDR141C
4424,Hkr1p,HKR1,YDR420W
4425,Zrg8p,ZRG8,YER033C
4426,Bph1p,BPH1,YCR032W
4427,hypothetical protein,YOL075C,YOL075C
4428,Y' element ATP-dependent helicase protein 1 copy 7,YRF1-7,YPL283C
4429,DNA-directed DNA polymerase delta POL3,POL3,YDL102W
4430,aminophospholipid-translocating P4-type ATPase DNF1,DNF1,YER166W
4431,Srb8p,SRB8,YCR081W
4432,phosphoribosylformylglycinamidine synthase,ADE6,YGR061C
4433,ubiquitin-protein ligase RKR1,RKR1,YMR247C
4434,Osw7p,OSW7,YFR039C
4435,hypothetical protein,YLR152C,YLR152C
4436,Mei4p,MEI4,YER044C-A
4437,mRNA splicing protein PRP28,PRP28,YDR243C
4438,glucose-induced degradation complex subunit VID24,VID24,YBR105C
4439,Mps2p,MPS2,YGL075C
4440,Msn1p,MSN1,YOL116W
4441,palmitoyltransferase PFA5,PFA5,YDR459C
4442,Imp2'p,IMP2',YIL154C
4443,hypothetical protein,YHR078W,YHR078W
4444,mRNA (N6-adenosine)-methyltransferase,IME4,YGL192W
4445,Mdm31p,MDM31,YHR194W
4446,Rsc3p,RSC3,YDR303C
